state,ethnicity_count,population_sum,unique_age_groups,sex_count,min_date,max_date
Johor,9,1091988.0,21,3,1970-01-01,2024-01-01
Kedah,9,655399.7,21,3,1970-01-01,2024-01-01
Kelantan,9,545676.0,21,3,1970-01-01,2024-01-01
Melaka,9,272974.4,21,3,1970-01-01,2024-01-01
Negeri Sembilan,9,344915.10000000003,21,3,1970-01-01,2024-01-01
Pahang,9,495157.8,21,3,1970-01-01,2024-01-01
Perak,9,860341.1000000001,21,3,1970-01-01,2024-01-01
Perlis,9,83258.1,21,3,1970-01-01,2024-01-01
Pulau Pinang,9,534835.8,21,3,1970-01-01,2024-01-01
Sabah,9,976234.8,21,3,1970-01-01,2024-01-01
Sarawak,9,808384.0,21,3,1970-01-01,2024-01-01
Selangor,9,1632878.5999999999,21,3,1970-01-01,2024-01-01
Terengganu,9,355788.6,21,3,1970-01-01,2024-01-01
W.P. Kuala Lumpur,9,534866.1,20,3,1980-01-01,2024-01-01
W.P. Labuan,7,22352.5,19,3,1991-01-01,2024-01-01
W.P. Putrajaya,7,11377.2,19,3,2010-01-01,2024-01-01
